Dosya,Length,Chroma Stft Mean,Chroma Stft Var,RMS Mean,RMS Var,Spectral Centroid Mean,Spectral Centroid Var,Spectral Bandwidth Mean,Spectral Bandwidth Var,Rolloff Mean,Rolloff Var,Zero Crossing Rate Mean,Zero Crossing Rate Var,Tempo,Music Genre
003 - UZI - Krvn.mp3,17.18997732426304,0.46233776,0.09285413,0.34945357,0.015947124,1709.0200851462962,963484.8861097065,2324.18638249383,488434.70153302496,3582.139877751771,5901524.494831179,0.05011834725033738,0.0013609152024959272,117.45383522727273,unknown
003 - UZI - Krvn.mp3,17.18997732426304,0.58635604,0.07423637,0.33093607,0.02498757,1099.352508909827,1458864.54337109,1515.0030059328292,903614.3853054079,2234.6728120255566,7008334.621478863,0.025186350792847503,0.0007285429271098775,117.45383522727273,unknown
003 - UZI - Krvn.mp3,17.18997732426304,0.5118271,0.09802729,0.26420137,0.036467075,1138.901891250038,1260227.763073935,1475.7861914978744,821587.2726500452,2187.131219161184,6138575.5080377115,0.036686329706477734,0.0011594980104987448,117.45383522727273,unknown
"003 . Yana Yana - Semicenk, Reynmen.mp3",14.795736961451247,0.27825072,0.09858866,0.13380358,0.014087228,1270.212782033947,659801.5535072775,1419.9492683777714,486529.08795423957,2202.7994281445926,3083258.892157813,0.0661330267927116,0.0018785901341233193,198.76802884615384,unknown
"003 . Yana Yana - Semicenk, Reynmen.mp3",14.795736961451247,0.36201376,0.095591374,0.3147558,0.017243993,1930.658104889888,773534.5658376266,2427.6335256541133,352792.7083625398,4414.104134012539,4758180.609527241,0.054040029878526644,0.0018706621376652606,99.38401442307692,unknown
"003 . Yana Yana - Semicenk, Reynmen.mp3",14.795736961451247,0.40932098,0.09405132,0.3412665,0.013861011,2399.734573917951,923201.2411432244,2779.3092707815904,263836.0880315307,5594.869564618437,4512397.990675202,0.06953339292711598,0.0038468350690403705,99.38401442307692,unknown
"003 . Yana Yana - Semicenk, Reynmen.mp3",14.795736961451247,0.4140123,0.096311405,0.3489992,0.012581353,2352.0418847550195,893262.8473503676,2757.821842782195,247743.4059789634,5564.172937279584,4063759.8750968226,0.06640931132445141,0.003553818750127965,99.38401442307692,unknown
"003 . Yana Yana - Semicenk, Reynmen.mp3",14.795736961451247,0.4072506,0.095031984,0.348249,0.014355809,2079.1869273979546,1068606.417197004,2491.096590773362,299264.57907346817,4537.211278837676,4975054.6036428865,0.06000425524098746,0.0032561786117770762,198.76802884615384,unknown
"003 . Yana Yana - Semicenk, Reynmen.mp3",14.795736961451247,0.41059104,0.092944905,0.33911175,0.013298549,2273.6347713612777,856281.9219435067,2620.199520915695,237739.04612075086,5087.691753710325,4083511.2765323445,0.06842442814459247,0.003265661758146536,99.38401442307692,unknown
"003 . Yana Yana - Semicenk, Reynmen.mp3",14.795736961451247,0.4545379,0.09218871,0.34139755,0.013252517,2318.673583779443,916337.8537670908,2644.23877782332,256262.76921354735,5287.160766984228,3941223.568142735,0.06996350901253919,0.00489115344375828,99.38401442307692,unknown
"003 . Yana Yana - Semicenk, Reynmen.mp3",14.795736961451247,0.39245906,0.091597416,0.35540935,0.010389456,2326.005780362957,781608.9387260593,2695.153136992381,223445.09085429294,5352.604153911148,3767917.9755440773,0.07057500857170847,0.0033127217446669082,99.38401442307692,unknown
"003 . Yana Yana - Semicenk, Reynmen.mp3",14.795736961451247,0.39099747,0.0931417,0.35201424,0.011727183,2412.317265238819,869680.6702246285,2721.0494495770076,222148.89120767819,5523.215974909384,3882856.933451687,0.0757677801724138,0.0039087451866363495,99.38401442307692,unknown
"003 . Yana Yana - Semicenk, Reynmen.mp3",14.795736961451247,0.32052553,0.09877713,0.2531486,0.02811171,2122.2286041997936,595660.1038130883,2493.2726728663497,331933.2497517444,4880.763746877449,3701112.0634192927,0.07154009110501568,0.0014481751421928227,99.38401442307692,unknown
004 - Ezhel - Bul Beni.mp3,15.418866213151928,0.2849378,0.096438885,0.095178016,0.0052665067,1113.777500295165,677402.6655860456,1365.1269104901796,583952.3624919768,2045.7676295230262,3030205.856786474,0.052197632753759396,0.0009783979464739107,103.359375,unknown
004 - Ezhel - Bul Beni.mp3,15.418866213151928,0.35340974,0.09447616,0.23804106,0.017137624,2042.7004123362447,1056425.5187883638,2544.676789639653,385482.22175262315,4538.146844161184,5407669.817182561,0.06590842340225564,0.0024643664058400854,103.359375,unknown
004 - Ezhel - Bul Beni.mp3,15.418866213151928,0.4003127,0.0959102,0.29775754,0.021081809,2269.1760078217835,1063017.452205989,2627.074344538536,344482.3672847266,5130.018503289473,5171736.706265848,0.08078962053571428,0.0035185839102936617,103.359375,unknown
004 - Ezhel - Bul Beni.mp3,15.418866213151928,0.41631404,0.09618567,0.2803844,0.021100398,2088.146849017548,1503361.9740676773,2617.080046148845,619735.3607911981,4831.435546875,7944195.745347676,0.06301618303571428,0.0035501314566803795,103.359375,unknown
004 - Ezhel - Bul Beni.mp3,15.418866213151928,0.35164237,0.09068433,0.22598697,0.0102235675,2026.9668506110072,1069103.4919523878,2412.2454511367687,456552.4090033348,4370.738332648027,5018595.390102936,0.07468720629699248,0.002214695601986547,103.359375,unknown
004 - Ezhel - Bul Beni.mp3,15.418866213151928,0.39028803,0.092497766,0.30653337,0.018712346,2206.0393023020033,929555.9376371154,2582.2255273789633,336084.46692631743,4967.418534128289,4883655.776849678,0.08156499647556391,0.0033389882563169882,103.359375,unknown
004 - Ezhel - Bul Beni.mp3,15.418866213151928,0.34772578,0.092530444,0.2520039,0.012442751,1767.568932369482,829768.2651838403,2233.245989876952,372976.8124170773,3775.515265213816,4426545.091120491,0.06233626057330827,0.002300008694766651,103.359375,unknown
